"Date","Status","Home","Score","","Away","Attd"
"15/8/2025","FT","Liverpool","4","2","AFC Bournemouth","60,315"
"","","Ekitike (37'), Gakpo (49'), Chiesa (88'), Salah (90+4')","","","Semenyo (64', 76')",""
"16/8/2025","FT","Aston Villa","0","0","Newcastle United","42,526"
"16/8/2025","FT","Brighton & Hove Albion","1","1","Fulham","31,478"
"","","O'Riley (55' pen)","","","Muniz (90+7')",""
"16/8/2025","FT","Sunderland","3","0","West Ham United","46,233"
"","","Mayenda (61'), Ballard (73'), Isidor (90+2')","","","",""
"16/8/2025","FT","Tottenham Hotspur","3","0","Burnley","61,077"
"","","Richarlison (10', 60'), Johnson (66')","","","",""
"16/8/2025","FT","Wolverhampton Wanderers","0","4","Manchester City","31,118"
"","","","","","Braut Haaland (34', 61'), Reijnders (37'), Cherki (81')",""
"17/8/2025","FT","Chelsea","0","0","Crystal Palace","39,678"
"17/8/2025","FT","Manchester United","0","1","Arsenal","73,475"
"","","","","","Calafiori (13')",""
"17/8/2025","FT","Nottingham Forest","3","1","Brentford","29,949"
"","","Wood (6', 45+3'), Ndoye (42')","","","Thiago Nascimento Rodrigues (78' pen)",""
"18/8/2025","FT","Leeds United","1","0","Everton","36,820"
"","","Nmecha (84' pen)","","","",""
"22/8/2025","FT","West Ham United","1","5","Chelsea","62,462"
"","","Paqueta (6')","","","Pedro (15'), Neto (23'), Fernandez (34'), Caicedo (54'), Chalobah (58')",""
"23/8/2025","FT","AFC Bournemouth","1","0","Wolverhampton Wanderers","11,070"
"","","Tavernier (4')","","","",""
"23/8/2025","FT","Arsenal","5","0","Leeds United","60,110"
"","","Timber (34', 57'), Saka (45+1'), Gyokeres (48', 90+5' pen)","","","",""
"23/8/2025","FT","Brentford","1","0","Aston Villa","16,838"
"","","Ouattara (13')","","","",""
"23/8/2025","FT","Burnley","2","0","Sunderland","21,285"
"","","Cullen (47'), Anthony (88')","","","",""
"23/8/2025","FT","Manchester City","0","2","Tottenham Hotspur","51,785"
"","","","","","Johnson (37'), Palhinha (45+2')",""
"24/8/2025","FT","Crystal Palace","1","1","Nottingham Forest","24,876"
"","","Sarr (37')","","","Hudson-Odoi (57')",""
"24/8/2025","FT","Everton","2","0","Brighton & Hove Albion","51,759"
"","","Ndiaye (23'), Garner (52')","","","",""
"24/8/2025","FT","Fulham","1","1","Manchester United","27,512"
"","","Smith Rowe (73')","","","Yoro (58')",""
"25/8/2025","FT","Newcastle United","2","3","Liverpool","52,230"
"","","Guimaraes (57'), Osula (88')","","","Ekitike (46'), Ngumoha (90+10')",""
"30/8/2025","FT","Chelsea","2","0","Fulham","39,745"
"","","Pedro (45+10'), Fernandez (56' pen)","","","",""
"30/8/2025","FT","Leeds United","0","0","Newcastle United","36,727"
"30/8/2025","FT","Manchester United","3","2","Burnley","74,257"
"","","Cullen (27' og), Fernandes (57'), Mbeumo (90+7' pen)","","","Foster (55'), Anthony (66')",""
"30/8/2025","FT","Sunderland","2","1","Brentford","46,267"
"","","Le Fée (81' pen), Isidor (90+6')","","","Thiago Nascimento Rodrigues (77')",""
"30/8/2025","FT","Tottenham Hotspur","0","1","AFC Bournemouth","61,250"
"","","","","","Evanilson (5')",""
"30/8/2025","FT","Wolverhampton Wanderers","2","3","Everton","30,271"
"","","Hwang (21'), Gomes (79')","","","Ndiaye (33'), Dewsbury-Hall (55')",""
"31/8/2025","FT","Aston Villa","0","3","Crystal Palace","41,036"
"","","","","","Mateta (21' pen), Guehi (68'), Sarr (78')",""
"31/8/2025","FT","Brighton & Hove Albion","2","1","Manchester City","31,485"
"","","Milner (67' pen), Gruda (89')","","","Braut Haaland (34')",""
"31/8/2025","FT","Liverpool","1","0","Arsenal","60,455"
"","","Szoboszlai (83')","","","",""
"31/8/2025","FT","Nottingham Forest","0","3","West Ham United","30,215"
"","","","","","Bowen (84'), Paqueta (88' pen), Wilson (90+1')",""
